600,959,1512,959,1512,1138,600,1138
915,1138,1521,1131,1522,1239,917,1247
604,1138,869,1138,869,1256,604,1256
316,1157,401,1157,401,1200,316,1200
280,1217,481,1162,501,1235,300,1290
1389,1507,1866,1507,1866,1606,1389,1606
1360,1634,1871,1634,1871,1743,1360,1743
1280,1767,1871,1767,1871,1875,1280,1875
1422,1894,1871,1894,1871,1989,1422,1989
1554,2093,1871,2093,1871,2225,1554,2225
